word,lablel,lime_score
cute,1,0.07944204924774287
closeup,0,-0.05537010315620511
people,0,-0.3988850464599941
picture,1,0.07091612490889652
people,0,-0.08553805311692954
closeup,1,0.12604820957388796
person,0,-0.013478349674010001
picture,1,0.017358634161957254
smile,0,-0.05678229236367053
picture,1,0.08492940249619473
U0001f602,0,-0.1340959632027752
baby,1,0.043915701845709615
adorable,0,-0.10430800886078845
look,1,0.07872511421705784
people,0,-0.19178307229372643
beauty,1,0.16644992198161776
this,0,-0.09412558550761303
girls,1,0.1183306644597586
people,0,-0.34710705873677006
2,1,0.018231171067075627
baby,0,-0.09006116828196722
says,1,0.09139035114863477
selfie,0,-0.03406597812404268
looking,1,0.09272712840700875
1,0,-0.01696991143022795
used,1,0.0009855187745094229
people,0,-0.075285374534781
you,1,0.0923305445786225
people,0,-0.07769949645822385
girls,1,0.15015064691804478
Lol,0,-0.07379653765576169
U0001f49c,1,0.11320220392556328
it,0,-0.04724351694370419
u2019s,1,0.07722006402871802
people,0,-0.05066053886499416
You,1,0.0910912755878195
people,0,-0.10385371519153026
5,1,0.13550643749523703
indoor,0,-0.022292242013992443
gorgeous,1,0.05107661819224327
pretty,0,-0.07634405075786135
closeup,1,0.05690170664754015
people,0,-0.12288402693142558
2,1,0.2818987903064814
people,0,-0.11378268942846598
girl,1,0.17575237900364302
Nice,0,-0.09800590884590765
flower,1,0.09199846877221236
This,0,-0.13370782798332115
picture,1,0.031216878590222916
buddy,0,-0.3995390373903284
sis,1,0.07615779597299994
like,0,-0.03957171413412715
girls,1,0.09103205746698334
outdoor,0,-0.18504511984084365
people,1,0.1291767145031774
love,0,-0.08708597724895573
pic,1,0.08503090180529231
people,0,-0.1579655034699352
3,1,0.2851280368155888
outdoor,0,-0.2328752509162587
closeup,1,0.05609802189265599
haha,0,-0.0822011522181833
closeup,1,0.09385096509771214
closeup,0,-0.05537010315620511
people,0,-0.09748463188352158
girls,1,0.1580939623533846
outdoor,0,-0.12251491691463831
ufe0f,1,0.07677464885176248
car,0,-0.20683712498320825
Me,1,0.03147121317433482
man,0,-0.1256452110842874
Girl,1,0.2156573871334654
selfie,0,-0.0751511299317611
closeup,1,0.07330119141708961
outdoor,0,-0.13216111234256261
nature,1,0.10582551395248613
people,0,-0.12688095166539887
dress,1,0.08828093870153747
like,0,-0.18541571440805388
closeup,1,0.11273169178069262
beard,0,-0.5214199927788056
closeup,1,0.05136237353096131
outdoor,0,-0.2092554899267509
hehe,1,0.08135357437638598
buddy,0,-0.19614114012860517
girl,1,0.18087403490644477
man,0,-0.2678758532311655
lol,1,0.10309454121151539
people,0,-0.1579655034699352
4,1,0.2851280368155888
people,0,-0.2511018641822343
pic,1,0.1006965555023192
people,0,-0.03044735671984204
2,1,0.058648530468041346
people,0,-0.11732091358333312
sister,1,0.05456541221826079
1,0,-0.016906495086457533
Any,1,0.0008066771607383075
boy,0,-0.05574194937716066
look,1,0.052374190971521496
that,0,-0.06341032124510224
closeup,1,0.12075641995026236
indoor,0,-0.0552834398317394
beautiful,1,0.06567357492397653
hehe,0,-0.1781498040961974
love,1,0.021587064941590968
smiling,0,-0.0049617783707316026
closeup,1,0.10853750253009067
sweet,0,-0.04155185494152849
closeup,1,0.10949704914091708
outdoor,0,-0.14253464576312833
nature,1,0.049813534167943055
LIKE,0,-0.09084837352505586
that,1,0.28222377191045395
people,0,-0.14664714832277131
look,1,0.13317257326088636
seems,0,-0.05727162464532113
look,1,0.097842330892695
guys,0,-0.1321146256106349
girl,1,0.19497268130812717
boy,0,-0.18839103304851543
2,1,0.21688554109836472
smile,0,-0.19273490263950874
4,1,0.049407170211468565
outdoor,0,-0.33658646573717554
it,1,0.002941066122018455
standing,0,-0.05846471101884738
picture,1,0.013352058859919835
people,0,-0.14292672167832404
4,1,0.26286086887410726
guy,0,-0.15553664825966126
Love,1,0.10361487296997723
hehe,0,-0.1310596342110651
girl,1,0.16166315695175165
1,0,-0.018014337855790517
fast,1,0.0007400093500126666
man,0,-0.1866018124457898
closeup,1,0.1749344113805963
smiling,0,-0.07964754752704871
closeup,1,0.05156785819670041
This,0,-0.158545369574562
cute,1,0.14973732121658057
people,0,-0.14353104014979662
looking,1,0.10784872753538328
That,0,-0.13784153645543118
girl,1,0.17539715670982092
Nice,0,-0.11852030599142595
looking,1,0.07523608686568609
Love,0,-0.15737054699436467
person,1,0.02418197042336231
Lol,0,-0.0838600677260203
it,1,0.0008205064897613719
outdoor,0,-0.3405858455939803
Gorgeous,1,0.11515196787238528
Love,0,-0.07573932832178741
closeup,1,0.05922226897715501
guy,0,-0.08512626171760508
girl,1,0.15304752851208117
like,0,-0.2708852638330341
2,1,0.11693934448183761
like,0,-0.10318167141999057
picture,1,0.15896823205219837
it,0,-0.06930177610541653
miss,1,0.10127542251435132
4,0,-0.0703423816751454
beautiful,1,0.10010430648608913
This,0,-0.07677343933347804
Gorgeous,1,0.18239812202706934
people,0,-0.009572152112572367
2,1,0.12321215742784718
outdoor,0,-0.12155228139806667
girls,1,0.19912658107441264
people,0,-0.11949037799063125
closeup,1,0.14644232437904964
too,0,-0.014724787809686045
says,1,0.01257390835592114
smiling,0,-0.033062061306411546
Gorgeous,1,0.10817530059071542
closeup,0,-0.037684777797055855
U0001f60d,1,0.016461956099928177
people,0,-0.2361411497698309
closeup,1,0.1483381942889908
smiling,0,-0.1334088909410872
s,1,0.17919789619736298
people,0,-0.15967530563083088
Gorgeous,1,0.1375519084753782
selfie,0,-0.06268790407582304
1,1,0.005342198687529298
smiling,0,-0.0839950862285352
closeup,1,0.04413216858200442
MAN,0,-0.28707979918652704
2,1,0.05598940772626811
Love,0,-0.06023777481479122
cute,1,0.0577229298755645
like,0,-0.1595797427578025
closeup,1,0.1342154742886249
playing,0,-0.28005576393931614
and,1,0.01135101612099552
people,0,-0.0767131331540283
look,1,0.13236906443016364
3,0,-0.1352579298411125
GORGEOUS,1,0.1264204653547397
standing,0,-0.056597536986268654
looking,1,0.12074881720708944
people,0,-0.12839157515222815
beautiful,1,0.0744089965450406
U0001f602,0,-0.19270217761993894
closeup,1,0.03931402683549201
closeup,0,-0.01572522541313686
Gorgeous,1,0.06908955293075894
outdoor,0,-0.39512521734727696
2,1,0.09474235741155544
beard,0,-0.390100307536749
2,1,0.029878991858334304
That,0,-0.11254868206922482
you,1,0.12625870731405628
that,0,-0.12750640887318068
closeup,1,0.1760796731499692
outdoor,0,-0.20441938756007189
closeup,1,0.12535114679510975
it,0,-0.2997628573020586
picture,1,0.04828035563224941
person,0,-0.016674303506595753
some,1,0.0009127150341641477
people,0,-0.14914489662973182
BEAUTIFUL,1,0.10254252211879346
people,0,-0.09051206845830115
2,1,0.12862224007295667
car,0,-0.22361108217019224
1,1,0.06234532272083965
nice,0,-0.21567108828001458
1,1,0.05720977739952199
hat,0,-0.11920712805314668
Gorgeous,1,0.2461227750232911
this,0,-0.16789879937750038
nShould,1,0.06702363129235503
guy,0,-0.11724423338851434
girl,1,0.20323272556675093
people,0,-0.1646095362260193
cute,1,0.05650316327763304
that,0,-0.09098228864824082
closeup,1,0.18134676531243765
outdoor,0,-0.19734100387892367
picture,1,0.08538970341724213
people,0,-0.11760342575233397
2,1,0.07195203082069906
nice,0,-0.10654817816565688
pic,1,0.06729230441696386
people,0,-0.15274879811008668
to,1,0.027554279006679255
baby,0,-0.049248767022969535
Look,1,0.07452944854040204
people,0,-0.08012147188190351
2,1,0.1867152028385606
smiling,0,-0.0912300657626096
